Generated using PyEER 0.5.6
Experiment ID,GMean,GSTD,IMean,ISTD,Sensitivity index (d'),AUC,J-Index,J-Index_TH,MCC,MCC_TH,EERlow,EERhigh,EER,ZeroFMR,FMR1000,FMR100,FMR20,FMR10,ZeroFNMR,EER_TH,ZeroFMR_TH,FMR1000_TH,FMR100_TH,FMR20_TH,FMR10_TH,ZeroFNMR_TH
Compass,0.92136544,0.07004392,0.8492554,0.073607266,1.0036517,0.7889905063291139,0.44550632911392407,0.9118220806121826,0.5102432840868064,0.9537315368652344,0.289873417721519,0.29,0.2899367088607595,0.8375,0.76,0.645,0.54,0.46,0.990506329113924,0.9001054167747498,0.9806926250457764,0.9723776578903198,0.9605870246887207,0.9464064240455627,0.934642493724823,0.6458656787872314

Legend:
GMean: Genuine scores distribution mean
GSTD: Genuine scores distribution standard deviation
IMean: Impostor scores distribution mean
IVariance: Impostor scores distribution standard deviation
Sensitivity index (d'): See NICE:II protocol evaluation
AUC: Area under the ROC curve
J-Index: Youden's J statistic (Youden's Index)
MCC: Matthews Correlation Coefficient
EER: Equal Error Rate
"EERlow, EERhigh: See FVC2000 protocol evaluation"
FMR: False Match Rate
FNMR: False Non-Match Rate
_TH: Threshold
EER_TH: Threshold for which EERlow and EERHigh were calculated
