Generated using PyEER 0.5.6
Experiment ID,GMean,GSTD,IMean,ISTD,Sensitivity index (d'),AUC,J-Index,J-Index_TH,MCC,MCC_TH,EERlow,EERhigh,EER,ZeroFMR,FMR1000,FMR100,FMR20,FMR10,ZeroFNMR,EER_TH,ZeroFMR_TH,FMR1000_TH,FMR100_TH,FMR20_TH,FMR10_TH,ZeroFNMR_TH
UCDO,0.88833594,0.072586276,-0.057341877,0.22183944,5.729723,0.9999927083333334,0.9994166666666666,0.6271417140960693,0.9966688312013303,0.6421393156051636,0.0,0.0005833333333333334,0.0002916666666666667,0.04625,0.0,0.0,0.0,0.0,0.0005833333333333334,0.6271417140960693,0.7406525611877441,0.6011773347854614,0.4559183120727539,0.31763923168182373,0.23978149890899658,0.6271417140960693

Legend:
GMean: Genuine scores distribution mean
GSTD: Genuine scores distribution standard deviation
IMean: Impostor scores distribution mean
IVariance: Impostor scores distribution standard deviation
Sensitivity index (d'): See NICE:II protocol evaluation
AUC: Area under the ROC curve
J-Index: Youden's J statistic (Youden's Index)
MCC: Matthews Correlation Coefficient
EER: Equal Error Rate
"EERlow, EERhigh: See FVC2000 protocol evaluation"
FMR: False Match Rate
FNMR: False Non-Match Rate
_TH: Threshold
EER_TH: Threshold for which EERlow and EERHigh were calculated
