Generated using PyEER 0.5.6
Experiment ID,GMean,GSTD,IMean,ISTD,Sensitivity index (d'),AUC,J-Index,J-Index_TH,MCC,MCC_TH,EERlow,EERhigh,EER,ZeroFMR,FMR1000,FMR100,FMR20,FMR10,ZeroFNMR,EER_TH,ZeroFMR_TH,FMR1000_TH,FMR100_TH,FMR20_TH,FMR10_TH,ZeroFNMR_TH
Piano,0.9262111,0.04598534,0.87926537,0.043490864,1.0489385,0.7770337890624999,0.4368749999999999,0.9219815135002136,0.4336462219088194,0.9537384510040283,0.3025,0.30421875,0.303359375,0.885,0.82,0.7225,0.5725,0.49,0.9834375,0.9064679741859436,0.9758309125900269,0.9655742049217224,0.9539688229560852,0.9396737813949585,0.9306301474571228,0.7713781595230103

Legend:
GMean: Genuine scores distribution mean
GSTD: Genuine scores distribution standard deviation
IMean: Impostor scores distribution mean
IVariance: Impostor scores distribution standard deviation
Sensitivity index (d'): See NICE:II protocol evaluation
AUC: Area under the ROC curve
J-Index: Youden's J statistic (Youden's Index)
MCC: Matthews Correlation Coefficient
EER: Equal Error Rate
"EERlow, EERhigh: See FVC2000 protocol evaluation"
FMR: False Match Rate
FNMR: False Non-Match Rate
_TH: Threshold
EER_TH: Threshold for which EERlow and EERHigh were calculated
