Generated using PyEER 0.5.6
Experiment ID,GMean,GSTD,IMean,ISTD,Sensitivity index (d'),AUC,J-Index,J-Index_TH,MCC,MCC_TH,EERlow,EERhigh,EER,ZeroFMR,FMR1000,FMR100,FMR20,FMR10,ZeroFNMR,EER_TH,ZeroFMR_TH,FMR1000_TH,FMR100_TH,FMR20_TH,FMR10_TH,ZeroFNMR_TH
UCDO,0.96186465,0.033661533,0.9334528,0.031196682,0.87549037,0.7754548958333334,0.45233333333333337,0.9628891944885254,0.41429342040338174,0.9872877597808838,0.29125,0.29183333333333333,0.2915416666666667,0.875,0.80625,0.715,0.585,0.4825,0.9999166666666667,0.9541290402412415,0.9925401210784912,0.9876950979232788,0.9822309613227844,0.9747950434684753,0.9691929817199707,0.7737831473350525

Legend:
GMean: Genuine scores distribution mean
GSTD: Genuine scores distribution standard deviation
IMean: Impostor scores distribution mean
IVariance: Impostor scores distribution standard deviation
Sensitivity index (d'): See NICE:II protocol evaluation
AUC: Area under the ROC curve
J-Index: Youden's J statistic (Youden's Index)
MCC: Matthews Correlation Coefficient
EER: Equal Error Rate
"EERlow, EERhigh: See FVC2000 protocol evaluation"
FMR: False Match Rate
FNMR: False Non-Match Rate
_TH: Threshold
EER_TH: Threshold for which EERlow and EERHigh were calculated
