Generated using PyEER 0.5.6
Experiment ID,GMean,GSTD,IMean,ISTD,Sensitivity index (d'),AUC,J-Index,J-Index_TH,MCC,MCC_TH,EERlow,EERhigh,EER,ZeroFMR,FMR1000,FMR100,FMR20,FMR10,ZeroFNMR,EER_TH,ZeroFMR_TH,FMR1000_TH,FMR100_TH,FMR20_TH,FMR10_TH,ZeroFNMR_TH
UCDO,0.93504316,0.046169102,0.87754047,0.042188,1.3002782,0.8425142708333334,0.5498333333333334,0.9176972508430481,0.5406255055421589,0.9560431838035583,0.235,0.235,0.235,0.8025,0.725,0.5875,0.4275,0.365,0.9984166666666666,0.9103881120681763,0.9683551788330078,0.9616054892539978,0.9513078331947327,0.9374397993087769,0.9286350011825562,0.7276255488395691

Legend:
GMean: Genuine scores distribution mean
GSTD: Genuine scores distribution standard deviation
IMean: Impostor scores distribution mean
IVariance: Impostor scores distribution standard deviation
Sensitivity index (d'): See NICE:II protocol evaluation
AUC: Area under the ROC curve
J-Index: Youden's J statistic (Youden's Index)
MCC: Matthews Correlation Coefficient
EER: Equal Error Rate
"EERlow, EERhigh: See FVC2000 protocol evaluation"
FMR: False Match Rate
FNMR: False Non-Match Rate
_TH: Threshold
EER_TH: Threshold for which EERlow and EERHigh were calculated
